experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
43,1,1,1,0.011879472878976864,34.60895693990956,50.91167593,0.9891440674601328,0,2024-09-11-07-46-18,0.00014415485187629158,0,0,1.3073337187048037
44,1,1,1,0.008718787081071475,35.51561786204947,57.721085072,0.9905338215453686,0,2024-09-11-07-47-33,0.00022818279384933092,0,0,1.3141843905981432
45,1,1,1,0.011185991479149154,35.545241110157235,54.831531286,0.9888188547015908,0,2024-09-11-07-48-56,0.00014138730349414023,0,0,1.3223869004852986
46,1,1,1,0.009783493612208155,35.45919706663065,51.806023598,0.9894522523352576,0,2024-09-11-07-50-15,0.00010803273114401344,0,0,1.2107785799199808
47,1,1,1,0.010053625374708733,35.66937509157323,51.472726822,0.9867983300956027,0,2024-09-11-07-51-31,0.00012551523336388383,0,0,1.182534115508618
48,1,1,1,0.005469722913168414,35.30957102693621,61.65467143,0.986050925451228,0,2024-09-11-07-52-45,0.00020982482994664434,0,0,1.320060864659978
49,1,1,1,0.014835610274786443,35.741532678656114,49.885941267,0.988313667323303,0,2024-09-11-07-54-14,9.631474563240727e-05,0,0,1.2121985970184106
50,1,1,1,0.005025979937315803,35.43138782444388,62.882097959,0.9895662545816462,0,2024-09-11-07-55-28,0.00014793544851377877,0,0,1.209446022995677
51,1,1,1,0.007431325650013244,37.640077295518,64.399442673,0.9893003232260476,0,2024-09-19-13-42-28,0.0001073595465648239,0,0,1.2163047570632104
52,1,1,1,0.01355573520673677,34.46200559785279,51.73813796,0.9880502297547573,0,2024-09-11-07-58-30,0.0001180924703411778,0,0,1.2419325198988174
53,1,1,1,0.011222050062162292,35.27519232259104,50.602133751,0.9888432708295716,0,2024-09-11-07-59-45,9.542449411041434e-05,0,0,1.174400391240477
54,1,1,1,0.0065755488108457565,35.3117368482046,54.599410057,0.988734993222973,0,2024-09-11-08-00-58,0.00012590366368149742,0,0,1.2903437952210741
55,1,1,1,0.010769352878224031,35.6052274649389,51.31269002,0.9876210881102276,0,2024-09-11-08-02-17,0.00012585522789480778,0,0,1.2027569313685078
56,1,1,1,0.008144822409702233,35.520037606866595,56.390706062,0.9882433455022872,0,2024-09-11-08-03-33,0.00010874140731964798,0,0,1.1802823599481134
57,1,1,1,0.01098404082867021,35.12109524758805,49.542874097,0.9787726328510242,0,2024-09-11-08-04-55,0.00010393002183916119,0,0,1.2542880691094993
58,1,1,1,0.011202186124515437,35.10793323273962,57.7932055,0.9863285218906482,0,2024-09-11-08-06-07,0.0001335302655397099,0,0,1.2078396438574204
